Time,Bal,Pl
1714366159.724521,99816.0991,-181.8498
1714367446.552891,99816.0991,-181.8498
1714409962.585572,99816.0991,-181.8498
1714410020.532926,99816.0991,-181.8498
1714410091.585255,99816.0991,-181.8498
1714410403.976965,99816.0991,-181.8498
1714410448.273426,99816.0991,-181.8498
1714410517.364777,99816.0991,-181.8498
1714410528.916386,99816.0991,-181.8498
1714489901.477808,99813.6945,-184.3211
1714491368.072752,99812.5757,-185.4399
1714491457.157197,99810.1422,-187.8734
1714491511.372294,99808.7718,-189.2438
1714491710.011588,99807.5484,-190.4672
1714491763.313097,99806.0763,-191.9393
1714491803.392788,99805.9363,-192.0793
1714491822.72167,99805.0056,-193.01
1714491837.931086,99805.0056,-193.01
1714491854.895018,99805.0056,-193.01
1714491883.974258,99805.0056,-193.01
1714491910.100825,99805.0056,-193.01
1714491937.053133,99805.0056,-193.01
1714491952.813114,99805.0056,-193.01
1714492018.24534,99805.0056,-193.01
1714493179.400733,99803.9956,-194.02
1714493254.236605,99803.9956,-194.02
1714493728.408669,99804.7989,-193.2167
1714621955.969816,99737.6448,-259.5314
1715020143.771264,99708.2386,-274.7012
1715020162.53403,99708.2386,-274.7012
1715020228.762024,99697.7689,-285.1709
1715020755.136344,99697.7689,-285.1709
1715020803.398939,99697.7689,-285.1709
1715020811.340668,99697.7689,-285.1709
1715020829.830633,99697.7689,-285.1709
1734562262.8425,98611.2534,-1374.0111
1734562792.036644,98611.2534,-1374.0111
1734563397.644732,98610.4634,-1374.8011
1734563433.48536,98609.9034,-1375.3611
